,	633
the	333
and	260
of	151
to	143
;	80
in	79
a	79
.	73
my	62
shall	60
|'s|	55
but	55
—	49
|arabic2digit|	49
his	49
which	48
!	47
be	46
with	44
that	44
i	44
for	43
their	41
not	41
from	41
is	39
all	39
who	38
thy	36
as	33
|arabic3digit|	30
yet	30
thou	28
'	28
me	27
they	26
by	26
thee	25
so	25
her	25
on	24
have	24
?	23
:	23
it	22
are	22
over	21
or	21
will	20
this	19
such	19
still	19
more	19
where	17
its	17
would	16
them	16
may	16
he	16
|arabic1digit|	15
whose	15
when	15
too	15
like	15
earth	15
