the	341
,	275
.	153
and	148
of	127
!	98
|arabic2digit|	78
in	78
to	77
a	62
we	61
;	55
—	54
i	48
as	47
are	47
that	45
|arabic5+digit|	44
with	42
new	36
is	36
our	33
haven	32
