,	307
of	182
.	89
]:	70
)	63
|'s|	52
to	49
love	46
all	46
—	45
;	40
the	35
and	34
^	33
i	31
tl\e	30
a	30
r	29
:	29
tie	26
is	26
tl^e	24
life	24
its	24
t	23
ard	23
rr\d	22
|romannumeral|	21
ir	21
]	21
or	20
god	18
tt|e	17
in	15
for	14
\	14
y	13
),	13
'	13
tty	12
by	12
tl\y	11
praise	11
itl	11
eternal	11
[	11
tt^e	10
peace	10
e	10
but	10
tl^ee	9
over	9
on	9
nor	9
find	9
day	9
arid	9
tl|e	8
tlr^e	8
soul	8
rest	8
it	8
forever	8
yea	7
universe	7
ttje	7
ttie	7
te	7
suffering	7
seek	7
hrid	7
h	7
be	7
■^	6
tt\e	6
s	6
place	6
land	6
ever	6
eartl	6
early	6
art	6
are	6
\eart	6
