,	1342
the	1169
.	707
and	648
of	461
to	428
with	259
in	246
;	176
thy	154
|'s|	134
a	131
his	128
that	120
all	120
—	115
on	105
from	99
we	91
heart	91
for	88
our	84
their	78
not	75
but	75
thou	74
is	69
!	67
are	66
when	65
let	64
my	60
i	59
her	59
be	58
life	57
as	57
by	55
then	54
love	54
"	54
he	53
thee	51
'	51
mind	50
us	48
*	48
where	46
shall	46
or	46
no	46
it	46
|arabic1digit|	45
they	40
its	40
had	40
will	39
me	37
at	37
was	35
hearts	35
this	32
were	31
still	31
whose	30
tis	30
now	30
have	30
day	30
time	29
there	29
those	28
soul	28
joy	27
would	26
hopes	26
|arabic2digit|	25
upon	25
so	25
."	25
world	24
them	24
such	24
has	24
earth	24
these	23
sympathy	23
over	23
one	23
man	23
light	23
him	23
?	23
oh	22
hours	22
every	21
each	21
deep	21
remember	20
power	20
how	20
heaven	20
above	20
who	19
what	19
through	19
she	19
raise	19
like	19
god	19
ever	19
bright	19
art	19
way	18
thought	18
powers	18
more	18
may	18
cheer	18
thoughts	17
spirit	17
some	17
peace	17
eye	17
around	17
spring	16
seek	16
scene	16
night	16
holy	16
friend	16
fancy	16
dear	16
blessed	16
an	16
than	15
never	15
here	15
fair	15
care	15
bring	15
been	15
till	14
faith	14
divine	14
away	14
you	13
too	13
themes	13
silent	13
morning	13
memory	13
hour	13
hope	13
home	13
hand	13
full	13
flowers	13
far	13
eternal	13
do	13
can	13
|arabic3digit|	12
yet	12
wisdom	12
wilt	12
why	12
up	12
thine	12
smile	12
should	12
scenes	12
rest	12
praise	12
meet	12
immortal	12
hath	12
hast	12
good	12
gay	12
find	12
bosom	12
beauty	12
which	11
rare	11
prayer	11
noble	11
must	11
mountain	11
mother	11
made	11
impart	11
heavenly	11
given	11
give	11
form	11
feeling	11
fear	11
evening	11
clouds	11
again	11
your	10
visited	10
turn	10
souls	10
pure	10
nature	10
met	10
long	10
leave	10
joys	10
forms	10
fond	10
father	10
charles	10
bliss	10
bless	10
before	10
youth	9
years	9
well	9
weary	9
voice	9
thus	9
sweet	9
sun	9
stream	9
stars	9
skill	9
see	9
raised	9
passed	9
own	9
old	9
notes	9
nor	9
name	9
minds	9
many	9
little	9
left	9
know	9
july	9
high	9
head	9
free	9
filled	9
fill	9
face	9
come	9
children	9
ages	9
:	9
*'	9
without	8
wit	8
whom	8
water	8
view	8
treasures	8
tender	8
take	8
spirits	8
said	8
out	8
mortal	8
men	8
lofty	8
live	8
lead	8
heard	8
health	8
glee	8
friendship	8
friends	8
flow	8
first	8
fire	8
dwell	8
delight	8
came	8
calm	8
best	8
along	8
wing	7
we'll	7
virtue	7
twill	7
think	7
strength	7
state	7
speak	7
sorrow	7
son	7
shore	7
shed	7
rose	7
pleasure	7
past	7
paint	7
only	7
oft	7
ocean	7
most	7
morn	7
mark	7
loved	7
lord	7
implore	7
if	7
guide	7
graceful	7
genial	7
gave	7
found	7
feel	7
elevate	7
early	7
dream	7
draw	7
desire	7
days	7
could	7
cold	7
celestial	7
cease	7
cast	7
brow	7
breathe	7
bound	7
born	7
bloom	7
bind	7
banish	7
ascend	7
alone	7
affection	7
young	6
work	6
word	6
within	6
wings	6
while	6
vain	6
united	6
two	6
tints	6
sunshine	6
springs	6
soon	6
smiles	6
sky	6
skies	6
sense	6
sage	6
sacred	6
rejoice	6
refreshed	6
reflected	6
pleasant	6
pilgrim	6
pass	6
parted	6
meek	6
loss	6
into	6
interest	6
hushed	6
house	6
honour	6
heavens	6
grave	6
gracious	6
glory	6
forth	6
flower	6
fashion	6
faithful	6
expand	6
end	6
earthly	6
down	6
does	6
die	6
dew	6
devotion	6
dead	6
dark	6
cheered	6
cannot	6
blessedness	6
birds	6
bid	6
behold	6
beauties	6
arrayed	6
aid	6
ah	6
aged	6
^	6
zeal	5
ye	5
worlds	5
wish	5
wise	5
wild	5
white	5
welcome	5
weep	5
wealth	5
various	5
varied	5
trusting	5
trust	5
train	5
throne	5
though	5
tell	5
tears	5
taught	5
taste	5
sweetest	5
star	5
spread	5
sparkling	5
song	5
sister	5
set	5
science	5
saviour	5
