,	11049
the	5644
.	2765
of	2467
and	2356
;	2311
|'s|	1928
to	1918
in	1686
his	1639
with	889
!	872
from	835
thy	828
that	747
on	730
a	532
its	515
by	489
'	465
their	461
her	429
he	418
heaven	401
for	358
shall	355
nor	354
as	341
:	328
who	315
over	313
light	311
?	302
earth	300
whose	277
is	271
yet	267
bright	261
or	258
when	247
all	237
while	232
no	220
where	204
thee	203
not	201
him	200
beneath	195
love	193
but	192
messiah	182
grace	182
through	181
glory	179
at	175
—	174
thou	171
man	171
divine	166
dark	163
there	161
deep	159
god	157
then	155
power	150
throne	145
world	144
spirit	144
death	142
was	141
jehovah	141
though	139
i	136
it	133
holy	133
those	132
truth	131
eye	130
they	128
still	124
which	122
voice	121
night	121
hand	121
sacred	120
rise	120
life	117
hell	115
glorious	114
now	112
name	112
hallowed	112
till	111
skies	104
pride	104
proud	103
nature	103
might	103
dread	103
lo	102
o	101
wisdom	100
thine	100
