,	1576
the	904
.	786
and	588
to	359
a	327
of	312
i	310
;	276
in	212
|romannumeral|	174
|'s|	163
—	159
his	158
all	133
he	132
with	119
!	112
that	106
for	105
is	102
as	96
on	83
from	82
thy	78
