,	1250
the	606
and	587
.	377
of	327
a	256
in	227
;	203
to	188
i	186
that	178
!	150
is	148
my	110
all	98
his	94
with	90
for	87
he	79
not	75
|'s|	70
but	70
me	69
it	69
love	65
be	65
as	64
'	63
her	61
at	54
on	52
are	51
heart	48
:	48
no	46
you	44
will	44
when	43
eyes	41
this	40
from	40
?	40
