,	948
the	594
and	507
.	436
i	281
a	272
of	228
my	218
;	192
to	179
in	145
that	139
is	113
with	110
as	98
her	93
for	93
!	92
you	77
from	73
but	72
me	67
his	67
your	65
|arabic2digit|	64
was	60
|'s|	59
like	58
love	51
on	50
no	50
have	50
who	49
not	49
by	49
?	49
all	45
when	43
she	42
or	42
eyes	42
he	40
are	39
face	38
am	38
this	37
heart	37
where	36
through	35
so	35
it	34
upon	33
more	33
has	33
at	32
"	32
sweet	30
too	29
life	29
oh	28
sea	26
one	26
had	26
there	25
long	25
soul	24
over	24
be	24
what	23
were	23
weary	23
their	23
its	23
before	23
again	23
now	22
mine	22
mariner	22
then	21
shall	21
night	21
swallow	20
sun	20
some	19
lips	19
light	19
hands	19
fair	19
world	18
wind	18
thy	18
they	18
sky	18
o	18
little	18
him	18
death	18
'	18
song	17
out	17
loved	17
into	17
hour	17
ever	17
come	17
|arabic3digit|	16
within	16
whose	16
time	16
stars	16
saw	16
pain	16
once	16
made	16
if	16
dead	16
beauty	16
touch	15
thou	15
than	15
nor	15
kiss	15
hand	15
flower	15
do	15
beneath	15
an	15
would	14
thee	14
never	14
music	14
last	14
joy	14
house	14
flame	14
far	14
dream	14
day	14
came	14
bring	14
arms	14
wine	13
will	13
strange	13
still	13
our	13
make	13
leaves	13
king	13
heard	13
head	13
hair	13
great	13
...	13
white	12
see	12
many	12
left	12
land	12
feet	12
while	11
soft	11
should	11
queen	11
place	11
peace	11
myself	11
mother	11
moon	11
lie	11
leave	11
knew	11
hear	11
gold	11
go	11
dreams	11
die	11
did	11
deep	11
days	11
been	11
whom	10
which	10
we	10
these	10
sing	10
shame	10
own	10
might	10
live	10
heaven	10
grass	10
girl	10
down	10
dark	10
cold	10
against	10
yet	9
years	9
way	9
voice	9
things	9
such	9
splendid	9
songs	9
smile	9
sleep	9
sang	9
may	9
lovers	9
lift	9
let	9
grace	9
flowers	9
cry	9
close	9
city	9
can	9
body	9
bird	9
above	9
about	9
youth	8
went	8
until	8
took	8
thought	8
them	8
star	8
spring	8
singing	8
set	8
seek	8
said	8
past	8
mirth	8
men	8
know	8
kisses	8
found	8
forth	8
fool	8
fear	8
father	8
earth	8
breath	8
across	8
(	8
words	7
wise	7
wings	7
winds	7
well	7
veil	7
us	7
twilight	7
tree	7
thoughts	7
thing	7
tears	7
sudden	7
stay	7
sin	7
say	7
sad	7
purple	7
pride	7
praise	7
pity	7
perchance	7
passed	7
pale	7
other	7
off	7
name	7
must	7
mouth	7
man	7
maidens	7
lost	7
lived	7
high	7
heavy	7
golden	7
fallen	7
every	7
each	7
dim	7
depths	7
could	7
child	7
changed	7
call	7
broken	7
bride	7
born	7
woman	6
ways	6
unto	6
tender	6
swift	6
strong	6
startled	6
silver	6
shore	6
shadows	6
shadow	6
prayer	6
pass	6
old	6
nights	6
lover	6
looked	6
look	6
lands	6
la	6
kissed	6
kingdom	6
how	6
helen	6
held	6
grows	6
grown	6
grave	6
gone	6
god	6
gloom	6
glad	6
flight	6
fell	6
even	6
dusk	6
dance	6
clouds	6
cannot	6
called	6
breast	6
bow	6
bore	6
bear	6
anon	6
alone	6
afraid	6
wonder	5
women	5
why	5
weep	5
waves	5
waters	5
watch	5
towers	5
toward	5
till	5
thousand	5
though	5
thine	5
summer	5
sound	5
son	5
slaves	5
silence	5
shining	5
scorn	5
rose	5
rain	5
put	5
proud	5
pleasure	5
passes	5
part	5
oft	5
odysseus	5
new	5
much	5
most	5
mist	5
minstrel	5
mad	5
lo	5
lies	5
lay	5
laughter	5
hushed	5
holy	5
hide	5
here	5
grey	5
grew	5
gave	5
forgotten	5
fire	5
find	5
farewell	5
eternal	5
ere	5
empty	5
dreaming	5
does	5
distant	5
cruel	5
coming	5
comes	5
children	5
blown	5
bitter	5
bid	5
between	5
because	5
ask	5
art	5
along	5
|arabic1digit|	4
winged	4
wept	4
weak	4
vast	4
vain	4
up	4
turned	4
tremble	4
tonight	4
tis	4
tired	4
tide	4
thus	4
those	4
swept	4
street	4
storm	4
stands	4
spirit	4
speak	4
space	4
sorrow	4
skies	4
silent	4
sight	4
shaken	4
seas	4
scourged	4
same	4
romance	4
rise	4
rich	4
restless	4
remembering	4
pure	4
prince	4
poor	4
perfect	4
paused	4
passion	4
passing	4
nigh	4
near	4
meadow	4
maids	4
maiden	4
low	4
lingers	4
line	4
lifts	4
leaf	4
laugh	4
ithaca	4
instant	4
home	4
hills	4
half	4
grief	4
gotham	4
glory	4
give	4
follow	4
foam	4
flutter	4
fleeting	4
fled	4
first	4
filled	4
felt	4
falls	4
fall	4
dust	4
door	4
dies	4
despair	4
desert	4
dawn	4
darkness	4
closed	4
caught	4
care	4
bright	4
blind	4
beyond	4
beware	4
arches	4
any	4
ancient	4
among	4
air	4
ah	4
!)	4
zeus	3
wistful	3
winding	3
wife	3
whole	3
wear	3
watched	3
warm	3
wander	3
wall	3
waited	3
vineyard	3
very	3
vanished	3
untouched	3
unknown	3
two	3
troy	3
troubled	3
trembling	3
trembled	3
treasure	3
told	3
throne	3
thetis	3
taken	3
take	3
surely	3
stream	3
stood	3
stirred	3
steal	3
stayed	3
stand	3
soon	3
smiles	3
smiled	3
sings	3
singer	3
since	3
silently	3
shrine	3
ships	3
shed	3
seven	3
send	3
seems	3
seemed	3
secret	3
save	3
salome	3
sacred	3
round	3
road	3
river	3
ring	3
remember	3
red	3
ran	3
princess	3
pressed	3
presence	3
prayed	3
pray	3
power	3
people	3
only	3
often	3
none	3
mystic	3
morning	3
moonlit	3
moan	3
mists	3
mid	3
mary	3
marriage	3
marble	3
maid	3
lyre	3
loves	3
lovely	3
lonely	3
loneliness	3
lives	3
lingered	3
linger	3
lily	3
lights	3
less	3
laughed	3
knight	3
kings	3
juliet	3
jests	3
immortal	3
hungry	3
humble	3
hold	3
hoel	3
hidden	3
hath	3
grasses	3
gods	3
goddess	3
gleaming	3
gleam	3
gladness	3
girls	3
gifts	3
garlands	3
garden	3
fruit	3
free	3
fragrant	3
followed	3
flutters	3
flames	3
fever	3
feel	3
fate	3
faith	3
faint	3
fading	3
e	3
drink	3
drew	3
dreamed	3
draws	3
drawn	3
draw	3
doom	3
done	3
divine	3
desire	3
delight	3
deeper	3
dear	3
daughter	3
cup	3
cross	3
cried	3
court	3
closer	3
chill	3
burns	3
burned	3
brought	3
best	3
beside	3
bend	3
bark	3
balcony	3
bade	3
back	3
away	3
autumn	3
asked	3
around	3
armies	3
ardent	3
answer	3
age	3
after	3
."	3
-	3
)	3
|romannumeral|	2
yearning	2
yea	2
wrap	2
word	2
wondered	2
woe	2
wither	2
winter	2
wild	2
wide	2
whispered	2
whirl	2
wherein	2
wheel	2
weight	2
wearing	2
waving	2
wave	2
water	2
watchers	2
wandering	2
wan	2
walked	2
wait	2
wail	2
vows	2
vivid	2
visions	2
vine	2
villanelle	2
veils	2
vanish	2
valley	2
urged	2
understand	2
tuned	2
trembles	2
toy	2
touched	2
tortured	2
torn	2
tops	2
tombs	2
tomb	2
throw	2
throat	2
thrilled	2
thrill	2
think	2
thin	2
thessaly	2
thank	2
temple	2
talked	2
sympathy	2
swing	2
swaying	2
sunlight	2
sung	2
subtle	2
strangely	2
stole	2
stir	2
stem	2
starlit	2
starlike	2
stare	2
sprung	2
spread	2
speaks	2
spartan	2
spake	2
souls	2
sought	2
sometimes	2
sombre	2
sole	2
soldiers	2
sobs	2
sob	2
small	2
slow	2
slips	2
slender	2
sleeps	2
slain	2
sit	2
sire	2
sign	2
sighs	2
sigh	2
side	2
sick	2
shuddered	2
shroud	2
shower	2
shores	2
shone	2
shepherd	2
shell	2
sheer	2
share	2
serve	2
sends	2
self	2
seen	2
seem	2
seaward	2
sceptre	2
scattered	2
sand	2
sake	2
sail	2
runs	2
royal	2
roughen	2
roses	2
room	2
romeo	2
roman	2
robe	2
return	2
rest	2
repeat	2
reject	2
read	2
quivering	2
quiet	2
quick	2
prepare	2
pour	2
ports	2
poppies	2
pomp	2
pleading	2
pityingly	2
piteous	2
perfume	2
penelope	2
passionflower	2
parting	2
parasol	2
pallid	2
overmuch	2
onward	2
oneself	2
offending	2
nothing	2
note	2
neither	2
mysterious	2
murmurous	2
moving	2
moves	2
movements	2
move	2
mourn	2
motley	2
moods	2
mood	2
mocking	2
mission	2
mirror	2
mind	2
minarets	2
merriment	2
memory	2
memories	2
melodious	2
meet	2
meek	2
mean	2
mauve	2
master	2
mask	2
magic	2
lotus	2
lose	2
listless	2
lines	2
limbs	2
lifted	2
led	2
leaving	2
leafy	2
leads	2
lays	2
laughing	2
lamps	2
laid	2
knows	2
known	2
knelt	2
knees	2
judas	2
join	2
joanna	2
jealous	2
isle	2
insolent	2
illumined	2
idle	2
hush	2
humbly	2
hostile	2
hope	2
homing	2
holiness	2
hill	2
heritage	2
heat	2
hate	2
hast	2
hang	2
hall	2
h	2
guests	2
grove	2
grotesque	2
green	2
greeks	2
greece	2
graves	2
grapes	2
gracious	2
glow	2
gleams	2
giving	2
given	2
gaze	2
gawdelin	2
gathering	2
gate	2
galleys	2
frightened	2
frieze	2
friends	2
fresh	2
fragment	2
fountain	2
fortune	2
forgive	2
forget	2
foot	2
folded	2
flushed	2
floated	2
fling	2
flesh	2
fires	2
fired	2
fingers	2
final	2
fields	2
field	2
few	2
festival	2
ferries	2
feast	2
fears	2
farther	2
fare	2
fan	2
fame	2
faintly	2
fain	2
faded	2
eyed	2
except	2
eternity	2
ensign	2
energy	2
endless	2
ended	2
egypt	2
eastern	2
earthborn	2
eagerly	2
duteous	2
drunken	2
droop	2
dripping	2
drift	2
dreamless	2
draught	2
drained	2
dove	2
distances	2
died	2
dewy	2
dew	2
despite	2
decked	2
dawning	2
darkened	2
dancing	2
dances	2
dagger	2
curtains	2
cruellest	2
crown	2
cover	2
courtesan	2
course	2
cool	2
compassionate	2
coloured	2
closing	2
clinging	2
choir	2
childish	2
changing	2
changeful	2
change	2
chalice	2
certain	2
castle	2
careless	2
calm	2
calls	2
brow	2
brightly	2
brief	2
bridegroom	2
breezes	2
breathed	2
bread	2
brain	2
bowed	2
book	2
blue	2
blossom	2
blooms	2
blessed	2
birds	2
bidding	2
bent	2
belonging	2
bells	2
being	2
beheld	2
began	2
beautiful	2
beat	2
barren	2
band	2
backward	2
ay	2
autonoe	2
aside	2
arm	2
arise	2
apple	2
apart	2
angry	2
anew	2
aloud	2
alien	2
ago	2
afar	2
aching	2
ache	2
:	2
young	1
yonder	1
yellow	1
wrought	1
wrong	1
written	1
writhes	1
wrecked	1
wreaths	1
wounds	1
worthless	1
worshipped	1
worms	1
wooded	1
woo	1
wont	1
wonders	1
wondering	1
woke	1
without	1
withering	1
wisest	1
wintery	1
winepress	1
window	1
win	1
wilder	1
whither	1
whether	1
whereon	1
whereat	1
whence	1
wheat	1
whatever	1
wet	1
wert	1
welcome	1
weeps	1
weeping	1
weeds	1
weed	1
wedding	1
wears	1
weariness	1
weakling	1
wayfarers	1
wavers	1
warred	1
warmth	1
warbling	1
war	1
wantons	1
waltz	1
walls	1
walk	1
waking	1
wakes	1
wakens	1
waits	1
wailed	1
wagon	1
vultures	1
voyager	1
vista	1
visited	1
vision	1
virginity	1
violets	1
viola	1
victory	1
vibrant	1
vexing	1
vessel	1
verses	1
vermilion	1
ventured	1
venice	1
veiled	1
vanquished	1
vanquish	1
vanity	1
vale	1
vagrant	1
uwaine	1
utterance	1
useless	1
use	1
urns	1
urn	1
uplifts	1
unwilling	1
untrod	1
untied	1
unshaken	1
unseen	1
unscared	1
unsaid	1
unrest	1
unremembered	1
unopened	1
unnoticed	1
unloose	1
unlived	1
unique	1
unhaunted	1
unfurled	1
unfold	1
undressed	1
undreamed	1
understanding	1
underneath	1
unclouded	1
unchastity	1
uncharted	1
uncertainly	1
uncertain	1
unbowed	1
ultimate	1
tyrian	1
twined	1
twin	1
twelve	1
turrets	1
turn	1
tunes	1
tune	1
tumult	1
tryst	1
trumpets	1
true	1
troth	1
trod	1
tries	1
triangle	1
tremulous	1
tremblingly	1
trees	1
treasures	1
tread	1
trays	1
travelled	1
transcending	1
tragic	1
tragedy	1
tragedies	1
tragedienne	1
tower	1
towards	1
tourney	1
touching	1
tore	1
torch	1
topmost	1
top	1
tone	1
tolled	1
together	1
tiring	1
tireless	1
tips	1
timid	1
tidings	1
tides	1
thrown	1
throughout	1
throngs	1
thrills	1
thrilling	1
thrice	1
three	1
threaten	1
thinking	1
thieves	1
thief	1
thereof	1
thanks	1
tetrarch	1
terrace	1
tents	1
tending	1
tenderness	1
tempest	1
tell	1
teeth	1
teasdale	1
tearless	1
teaches	1
taught	1
tapestries	1
tame	1
talk	1
tales	1
syren	1
syracuse	1
symbol	1
sylvan	1
sword	1
swooning	1
swooned	1
swoon	1
swinging	1
swiftly	1
swerves	1
sweeter	1
sweep	1
sways	1
sway	1
swarming	1
surrounded	1
surprised	1
surprise	1
surmised	1
surmise	1
surges	1
surged	1
surge	1
sure	1
suppliant	1
superb	1
summoned	1
sullen	1
student	1
strive	1
strike	1
strife	1
strew	1
strength	1
streams	1
stranger	1
strain	1
story	1
stormy	1
storms	1
storied	1
stone	1
stirs	1
sting	1
stillness	1
stillborn	1
sterile	1
steps	1
steep	1
steed	1
steadfast	1
stays	1
starving	1
startles	1
starry	1
starlight	1
staring	1
standing	1
standard	1
stairway	1
stained	1
staff	1
springs	1
sprang	1
spot	1
sports	1
spoke	1
spice	1
sphinx	1
spent	1
speed	1
spectre	1
sounded	1
sothern	1
soothed	1
something	1
softly	1
softer	1
sod	1
sobbed	1
snow	1
smoke	1
smiling	1
slumber	1
slippers	1
slept	1
sleepless	1
sleeping	1
sleepest	1
slave	1
slakes	1
skill	1
sits	1
sister	1
sirens	1
sips	1
sinned	1
sinking	1
silken	1
silences	1
signal	1
sighing	1
sighed	1
sifting	1
sickly	1
sickens	1
sickening	1
shy	1
shuttles	1
shut	1
shun	1
shudder	1
shrink	1
shorn	1
shook	1
shivering	1
shipwrecked	1
shields	1
sheltering	1
sheltered	1
sheets	1
shattering	1
shattered	1
sharon	1
shapes	1
shaped	1
shameful	1
shakspearean	1
shakespere	1
shake	1
shaft	1
shadowy	1
shadowland	1
shadowed	1
shaded	1
shade	1
shackles	1
severs	1
servitude	1
serving	1
service	1
serenade	1
separate	1
sent	1
seemest	1
seeks	1
seeking	1
seeing	1
seclusion	1
seawater	1
searing	1
search	1
seagulls	1
seabirds	1
scythe	1
sculptor	1
screamed	1
scorned	1
scarf	1
saying	1
satin	1
sara	1
sapphire	1
sane	1
sands	1
sandals	1
sailing	1
sailed	1
saffron	1
safe	1
sacrifice	1
rustling	1
rushing	1
rushed	1
runner	1
rumours	1
ruling	1
ruinous	1
rubies	1
rove	1
rouge	1
rosy	1
root	1
rooms	1
roll	1
rocks	1
rockbound	1
robes	1
roamed	1
rises	1
riding	1
rider	1
richly	1
richer	1
rhymes	1
rhyme	1
revels	1
revelry	1
returns	1
retrieve	1
rests	1
restlessness	1
rested	1
