,	1445
the	810
.	553
and	539
of	398
to	264
in	262
;	257
'	255
a	239
|'s|	172
his	168
with	148
as	136
on	123
that	116
he	103
for	103
!	98
by	92
warren	90
her	88
—	81
was	78
i	78
but	77
from	73
is	67
each	64
|arabic2digit|	63
their	62
like	61
|arabic3digit|	56
over	56
it	56
they	54
or	51
at	51
(	51
my	50
:	49
when	48
while	46
she	46
him	46
)	45
this	43
then	43
its	38
through	36
you	35
how	35
till	34
who	33
now	32
an	32
all	32
up	31
so	30
blacking	30
your	29
oh	29
strand	28
o	27
are	27
thy	26
be	26
where	25
saint	25
one	25
me	25
thus	23
not	23
day	23
night	21
had	21
eye	21
wi	20
may	20
love	20
name	19
have	19
man	18
fame	18
.'	18
summer	17
our	17
no	17
here	17
would	16
will	16
some	16
past	16
if	16
down	16
those	15
stood	15
proud	15
again	15
wind	14
we	14
too	14
them	14
t	14
still	14
sky	14
lay	14
hath	14
green	14
vain	13
pride	13
little	13
high	13
blue	13
|arabic1digit|	12
ye	12
were	12
though	12
round	12
nose	12
mid	12
looked	12
frae	12
deep	12
death	12
away	12
*	12
