,	1048
the	721
and	499
of	288
.	241
a	209
;	173
that	163
in	132
with	130
her	111
to	103
'	95
is	89
|'s|	74
from	64
!	63
on	60
who	59
like	57
as	56
its	55
where	54
i	52
it	45
his	45
all	45
she	43
through	42
are	42
love	41
|arabic2digit|	39
or	39
for	39
you	38
he	38
now	37
some	36
when	35
:	34
come	32
?	32
