,	4075
and	2399
the	1863
;	847
to	842
of	802
.	715
in	682
i	660
!	657
with	479
love	463
that	459
all	416
my	385
we	378
as	350
a	350
for	340
is	339
|'s|	331
our	287
life	261
thy	260
thee	241
'	227
so	226
from	208
like	201
but	195
be	191
it	185
their	175
this	174
are	167
me	162
not	161
on	158
|arabic2digit|	151
his	149
light	142
sweet	139
heart	139
may	138
by	135
day	134
they	133
or	126
no	124
:	124
have	120
was	119
its	117
her	116
earth	115
at	115
will	113
fair	113
o	112
god	108
there	106
he	105
us	104
when	103
see	100
thou	99
you	98
