,	1769
the	1143
and	990
.	709
of	496
to	404
—	369
a	359
;	344
in	332
that	213
his	199
her	198
with	187
"	184
|'s|	171
i	158
he	151
as	147
or	144
!	143
for	135
on	134
but	131
it	124
not	110
heart	101
all	99
she	98
'	98
was	90
from	88
they	87
my	86
love	82
?	79
their	73
when	68
by	66
its	64
be	63
so	61
if	61
had	60
upon	58
man	56
were	53
one	53
like	53
is	52
at	52
him	51
:	51
them	50
me	50
no	47
through	43
life	43
great	43
edith	42
day	42
canto	42
who	41
more	40
world	39
such	39
which	38
this	38
than	38
."	38
never	35
thought	34
said	34
could	34
|romannumeral|	33
there	33
into	33
are	33
where	32
have	32
eyes	32
may	31
arthur	31
[	31
thy	30
should	30
time	29
still	29
an	29
will	28
|arabic1digit|	27
night	27
might	27
face	27
what	26
rose	26
oh	26
joy	26
father	26
|arabic3digit|	25
thou	25
then	25
sorrow	25
new	25
men	25
let	25
away	25
yet	24
soul	24
hand	24
come	24
came	24
art	24
again	24
|arabic2digit|	23
us	23
up	23
too	23
sweet	23
shall	23
down	23
old	22
hope	22
ever	22
how	21
heaven	21
dark	21
can	21
young	20
we	20
own	20
morn	20
loved	20
long	20
high	20
well	19
thee	19
some	19
happy	19
would	18
saw	18
mind	18
made	18
earth	18
song	17
son	17
name	17
little	17
far	17
fair	17
days	17
air	17
wealth	16
twas	16
tis	16
thomas	16
power	16
poor	16
passed	16
other	16
light	16
grief	16
give	16
you	15
word	15
without	15
white	15
till	15
though	15
sir	15
see	15
once	15
mountain	15
lost	15
look	15
ere	15
d	15
both	15
best	15
two	14
take	14
sire	14
peace	14
over	14
our	14
lord	14
himself	14
flowers	14
earl	14
dream	14
did	14
death	14
beneath	14
beautiful	14
amid	14
voice	13
three	13
smile	13
s	13
nor	13
mine	13
lips	13
land	13
here	13
has	13
hands	13
every	13
each	13
ancient	13
years	12
words	12
whose	12
westwood	12
these	12
read	12
pass	12
music	12
much	12
most	12
mist	12
make	12
lay	12
knew	12
human	12
home	12
herself	12
head	12
english	12
before	12
any	12
alone	12
while	11
went	11
true	11
took	11
summer	11
sky	11
now	11
must	11
mid	11
lo	11
know	11
hour	11
hath	11
good	11
god	11
gave	11
friend	11
fresh	11
dear	11
cloud	11
boy	11
bellenden	11
work	10
wild	10
truth	10
thoughts	10
those	10
sun	10
stood	10
spirit	10
sit	10
sing	10
sea	10
same	10
sad	10
rock	10
rest	10
pride	10
money	10
lovely	10
hearts	10
hate	10
half	10
green	10
gold	10
deep	10
cannot	10
bright	10
breast	10
blue	10
back	10
ay	10
!"	10
your	9
why	9
think	9
tell	9
save	9
rich	9
queen	9
out	9
morning	9
looked	9
lived	9
last	9
hopes	9
heard	9
hair	9
golden	9
go	9
dull	9
do	9
brow	9
been	9
beauty	9
around	9
.]	9
wrong	8
turn	8
trade	8
together	8
strong	8
state	8
spring	8
souls	8
sought	8
shame	8
sat	8
pure	8
pleasure	8
place	8
only	8
noon	8
nature	8
many	8
m	8
live	8
house	8
hills	8
hers	8
fitz	8
fancy	8
fall	8
erlwood	8
enough	8
done	8
die	8
child	8
breath	8
born	8
very	7
until	7
tongue	7
things	7
storm	7
star	7
spake	7
small	7
sleep	7
sister	7
shadow	7
seemed	7
secret	7
rain	7
perchance	7
nothing	7
next	7
news	7
looks	7
linger	7
left	7
leaves	7
itself	7
i'll	7
glens	7
full	7
forth	7
first	7
evermore	7
dead	7
comfort	7
clouds	7
clear	7
charm	7
brain	7
ben	7
another	7
against	7
youthful	6
youth	6
year	6
wind	6
wed	6
weary	6
wear	6
walk	6
top	6
toil	6
thus	6
thousand	6
thing	6
th	6
tears	6
tale	6
t	6
sunshine	6
stone	6
space	6
something	6
smiles	6
skies	6
side	6
set	6
self	6
say	6
sang	6
rome	6
proud	6
poured	6
passion	6
park	6
open	6
neville	6
near	6
month	6
law	6
lady	6
kind	6
joys	6
heavenly	6
guides	6
grew	6
glory	6
glen	6
find	6
fill	6
fierce	6
fell	6
evil	6
england	6
else	6
eloquent	6
dwell	6
delight	6
deemed	6
dawn	6
courage	6
constant	6
close	6
burst	6
books	6
book	6
alas	6
ah	6
after	6
about	6
whigs	5
west	5
watched	5
voices	5
vision	5
vicar	5
trevor	5
trees	5
tread	5
touch	5
thence	5
tender	5
sunny	5
study	5
strength	5
streaming	5
speak	5
sons	5
shore	5
seen	5
scorned	5
scorn	5
ripe	5
rank	5
quiet	5
promise	5
pleasant	5
pity	5
philosophy	5
past	5
passionate	5
pale	5
pain	5
o	5
none	5
nobler	5
n	5
mighty	5
met	5
memory	5
master	5
makes	5
loves	5
longer	5
living	5
linked	5
leave	5
learn	5
king	5
innocent	5
idle	5
hours	5
grave	5
grass	5
glance	5
glad	5
girl	5
gifts	5
friends	5
flower	5
flash	5
five	5
fire	5
felt	5
feet	5
feel	5
fed	5
