filename,id,language,date,author,title,gender,person,length
"EN_1771_Mackenzie,Henry_TheManofFeeling_Novel.txt",151,English,1771,"Mackenzie,Henry",TheManofFeeling,male,first,36458
"EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel.txt",152,English,1771,"Smollett,Tobias",TheExpedictionofHenryClinker,male,first,148261
"EN_1778_Burney,Fanny_Evelina_Novel.txt",153,English,1778,"Burney,Fanny",Evelina,female,first,154168
"EN_1782_Burney,Fanny_Cecilia_Novel.txt",154,English,1782,"Burney,Fanny",Cecilia,female,third,328981
"EN_1786_Beckford,William_Vathek_Novel.txt",155,English,1786,"Beckford,William",Vathek,male,third,36077
"EN_1788_Wollstonecraft,Mary_Mary_Novel.txt",156,English,1788,"Wollstonecraft,Mary",Mary,female,third,23275
"EN_1790_Radcliffe,Ann_ASicilianRomance_Novel.txt",157,English,1790,"Radcliffe,Ann",ASicilianRomance,female,third,67455
"EN_1794_Godwin,William_CalebWilliams_Novel.txt",158,English,1794,"Godwin,William",CalebWilliams,male,first,143832
"EN_1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel.txt",159,English,1794,"Radcliffe,Ann",TheMysteriesofUdolpho,female,third,290334
"EN_1794_Rowson,Susanna_CharlotteTemple_Novel.txt",160,English,1794,"Rowson,Susanna",CharlotteTemple,female,third,36551
"EN_1795_Lewis,Matthew_TheMonk_Novel.txt",161,English,1795,"Lewis,Matthew",TheMonk,male,third,136957
"EN_1796_Bonhote,Elizabeth_BungayCastle_Novel.txt",162,English,1796,"Bonhote,Elizabeth",BungayCastle,female,third,86392
"EN_1796_Burney,Fanny_Camilla_Novel.txt",163,English,1796,"Burney,Fanny",Camilla,female,third,356088
"EN_1796_Hays,Mary_EmmaCourtney_Novel.txt",164,English,1796,"Hays,Mary",EmmaCourtney,female,first,62704
"EN_1797_Foster,HannahWebster_TheCoquette_Novel.txt",165,English,1797,"Foster,HannahWebster",TheCoquette,female,first,52925
"EN_1798_Brown,CharlesBrockden_Wieland_Novel.txt",166,English,1798,"Brown,CharlesBrockden",Wieland,male,first,82291
"EN_1798_Wollstonecraft,Mary_Maria_Novel.txt",167,English,1798,"Wollstonecraft,Mary",Maria,female,third,44506
"EN_1799_Brown,CharlesBrockden_ArthurMervyn_Novel.txt",168,English,1799,"Brown,CharlesBrockden",ArthurMervyn,male,first,148810
"EN_1800_Edgeworth,Maria_CastleRackrent_Novel.txt",169,English,1800,"Edgeworth,Maria",CastleRackrent,female,first,35578
"EN_1801_Edgeworth,Maria_Belinda_Novel.txt",170,English,1801,"Edgeworth,Maria",Belinda,female,third,177692
"EN_1804_Opie,Amelia_AdelineMowbray_Novel.txt",171,English,1804,"Opie,Amelia",AdelineMowbray,female,first,106090
"EN_1805_Lewis,Matthew_TheBravoofVenice_Novel.txt",172,English,1805,"Lewis,Matthew",TheBravoofVenice,male,third,33088
"EN_1806_Edgeworth,Maria_Leonora_Novel.txt",173,English,1806,"Edgeworth,Maria",Leonora,female,first,65764
"EN_1809_More,Hannah_CoelebsinSearchofaWife_Novel.txt",174,English,1809,"More,Hannah",CoelebsinSearchofaWife,female,first,136597
"EN_1811_Austen,Jane_SenseandSensibility_Novel.txt",175,English,1811,"Austen,Jane",SenseandSensibility,female,third,118511
"EN_1813_Austen,Jane_PrideandPrejudice_Novel.txt",176,English,1813,"Austen,Jane",PrideandPrejudice,female,third,121781
